"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"5-fish-vision"
"12/30/2024 16:54:28:129 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","1.2","3","150","1","10","100","1","125","0.8","100","10","0"
"4","false","1.2","3","150","1","10","100","1","169","0.591715976331361","100","10","0"
"5","false","1.2","3","150","1","10","100","1","114","0.8771929824561403","100","10","0"
"3","false","1.2","3","150","1","10","100","1","125","0.8","100","10","0"
"1","false","1.2","3","150","1","10","100","1","155","0.6451612903225806","100","10","0"
"7","false","1.2","3","150","1","10","100","3","232","0.43103448275862066","100","10","0"
"6","false","1.2","3","150","1","10","100","3","268","0.373134328358209","100","10","0"
"9","false","1.2","3","150","1","10","100","3","230","0.43478260869565216","100","10","0"
"8","false","1.2","3","150","1","10","100","3","327","0.3058103975535168","100","10","0"
"10","false","1.2","3","150","1","10","100","3","351","0.2849002849002849","100","10","0"
"14","false","1.2","3","150","1","10","100","5","5699","0.01754693805930865","100","10","0"
"11","false","1.2","3","150","1","10","100","5","4877","0.02050440844781628","100","10","0"
"12","false","1.2","3","150","1","10","100","5","4941","0.020238818053025704","100","10","0"
"13","false","1.2","3","150","1","10","100","5","10000","0.0099","99","9.9","1"
"13","false","1.2","3","150","1","10","100","5","10001","0.0098990100989901","99","9.9","1"
"15","false","1.2","3","150","1","10","100","5","10000","0.0099","99","9.9","1"
"15","false","1.2","3","150","1","10","100","5","10001","0.0098990100989901","99","9.9","1"
"18","false","1.2","3","150","1","10","100","10","10000","0.0088","88","8.8","12"
"18","false","1.2","3","150","1","10","100","10","10001","0.008799120087991202","88","8.8","12"
"17","false","1.2","3","150","1","10","100","10","10000","0.0082","82","8.2","18"
"17","false","1.2","3","150","1","10","100","10","10001","0.0081991800819918","82","8.2","18"
"19","false","1.2","3","150","1","10","100","10","10000","0.009","90","9","10"
"19","false","1.2","3","150","1","10","100","10","10001","0.008999100089991","90","9","10"
"16","false","1.2","3","150","1","10","100","10","10000","0.008","80","8","20"
"16","false","1.2","3","150","1","10","100","10","10001","0.007999200079992","80","8","20"
"20","false","1.2","3","150","1","10","100","10","10000","0.0096","96","9.6","4"
"20","false","1.2","3","150","1","10","100","10","10001","0.009599040095990401","96","9.6","4"
