"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"12-dolphin-communication-reproduction"
"01/02/2025 16:54:05:786 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"1","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","264","0.3939393939393939","104","10.4","0"
"5","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","360","0.30833333333333335","111","11.1","0"
"4","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","417","0.26618705035971224","111","11.1","0"
"3","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","312","0.375","117","11.7","0"
"2","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","512","0.232421875","119","11.9","0"
"6","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","338","0.33727810650887574","114","11.4","0"
"9","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","252","0.42063492063492064","106","10.6","0"
"8","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","323","0.33746130030959753","109","10.9","0"
"7","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","559","0.2110912343470483","118","11.8","0"
"10","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","352","0.3153409090909091","111","11.1","0"
"12","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","366","0.2978142076502732","109","10.9","0"
"11","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","497","0.23138832997987926","115","11.5","0"
"13","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","365","0.2958904109589041","108","10.8","0"
"14","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","507","0.22879684418145957","116","11.6","0"
"15","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","422","0.26066350710900477","110","11","0"
"16","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","405","0.2814814814814815","114","11.4","0"
"17","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","280","0.39285714285714285","110","11","0"
"18","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","346","0.33236994219653176","115","11.5","0"
"21","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","419","0.2649164677804296","111","11.1","0"
"20","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","493","0.23123732251521298","114","11.4","0"
"19","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","527","0.23719165085388993","125","12.5","0"
"23","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","422","0.2772511848341232","117","11.7","0"
"22","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","509","0.2318271119842829","118","11.8","0"
"24","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","419","0.28162291169451076","118","11.8","0"
"25","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","678","0.19174041297935104","130","13","0"
