"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"13-dolphin-communication-10-range"
"01/02/2025 17:47:18:015 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"1","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","305","0.32786885245901637","100","10","0"
"5","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","234","0.42735042735042733","100","10","0"
"2","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","270","0.37037037037037035","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","314","0.3184713375796178","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","352","0.2840909090909091","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","310","0.3225806451612903","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","243","0.411522633744856","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","285","0.3508771929824561","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","322","0.3105590062111801","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","241","0.4149377593360996","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","295","0.3389830508474576","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","343","0.2915451895043732","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","282","0.3546099290780142","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","459","0.2178649237472767","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","242","0.4132231404958678","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","200","0.5","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","300","0.3333333333333333","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","339","0.2949852507374631","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","304","0.32894736842105265","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","398","0.25125628140703515","100","10","0"
"21","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","247","0.4048582995951417","100","10","0"
"23","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","249","0.40160642570281124","100","10","0"
"24","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","383","0.26109660574412535","100","10","0"
"22","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","406","0.24630541871921183","100","10","0"
"25","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","353","0.28328611898017","100","10","0"
