"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"model_1.nlogo"
"1-fish-population"
"12/26/2024 16:26:05:638 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15"
"fish-reproduction","true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,
"speed-dolphin","1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,
"dolphin-vision-range","3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,
"fish-vision-range","3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,
"fish-reproduction-rate","150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,
"speed-fish","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
"initial-number-dolphins","10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,
"initial-number-fish","50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,
"[reporter]","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"[final]","336","0.17261904761904762","58","5.8","449","0.1514476614699332","68","6.8","587","0.11584327086882454","68","6.8","298","0.19798657718120805","59","5.9","851","0.07873090481786134","67","6.7","535","0.2542056074766355","136","13.6","712","0.18820224719101122","134","13.4","710","0.19154929577464788","136","13.6","449","0.2806236080178174","126","12.6","523","0.25430210325047803","133","13.3","926","0.3434125269978402","318","31.8","821","0.34835566382460414","286","28.6","998","0.280561122244489","280","28","538","0.5111524163568774","275","27.5","732","0.3702185792349727","271","27.1"
