"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"1-fish-population"
"12/26/2024 17:10:07:530 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"2","true","1.2","3","3","150","1","10","50","433","0.14087759815242495","61","6.1"
"4","true","1.2","3","3","150","1","10","50","696","0.08908045977011494","62","6.2"
"3","true","1.2","3","3","150","1","10","50","535","0.1308411214953271","70","7"
"1","true","1.2","3","3","150","1","10","50","437","0.12814645308924486","56","5.6"
"5","true","1.2","3","3","150","1","10","50","748","0.07887700534759358","59","5.9"
"6","true","1.2","3","3","150","1","10","100","542","0.22878228782287824","124","12.4"
"7","true","1.2","3","3","150","1","10","100","499","0.2565130260521042","128","12.8"
"8","true","1.2","3","3","150","1","10","100","581","0.22547332185886404","131","13.1"
"9","true","1.2","3","3","150","1","10","100","595","0.22016806722689075","131","13.1"
"10","true","1.2","3","3","150","1","10","100","859","0.14435389988358557","124","12.4"
"14","true","1.2","3","3","150","1","10","200","573","0.4694589877835951","269","26.9"
"13","true","1.2","3","3","150","1","10","200","670","0.39850746268656717","267","26.7"
"11","true","1.2","3","3","150","1","10","200","657","0.410958904109589","270","27"
"12","true","1.2","3","3","150","1","10","200","725","0.40413793103448276","293","29.3"
"15","true","1.2","3","3","150","1","10","200","1144","0.25961538461538464","297","29.7"
