"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"2-dolphin-population"
"12/26/2024 17:18:37:674 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-fish","initial-number-dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"2","false","1.2","3","3","150","1","100","5","1228","0.08143322475570032","100","20"
"3","false","1.2","3","3","150","1","100","5","827","0.12091898428053205","100","20"
"5","false","1.2","3","3","150","1","100","5","814","0.12285012285012285","100","20"
"6","false","1.2","3","3","150","1","100","10","493","0.2028397565922921","100","10"
"1","false","1.2","3","3","150","1","100","5","778","0.12853470437017994","100","20"
"4","false","1.2","3","3","150","1","100","5","969","0.10319917440660474","100","20"
"7","false","1.2","3","3","150","1","100","10","723","0.13831258644536654","100","10"
"11","false","1.2","3","3","150","1","100","20","212","0.4716981132075472","100","5"
"8","false","1.2","3","3","150","1","100","10","368","0.2717391304347826","100","10"
"9","false","1.2","3","3","150","1","100","10","617","0.1620745542949757","100","10"
"10","false","1.2","3","3","150","1","100","10","645","0.15503875968992248","100","10"
"12","false","1.2","3","3","150","1","100","20","324","0.30864197530864196","100","5"
"13","false","1.2","3","3","150","1","100","20","225","0.4444444444444444","100","5"
"14","false","1.2","3","3","150","1","100","20","226","0.4424778761061947","100","5"
"15","false","1.2","3","3","150","1","100","20","295","0.3389830508474576","100","5"
