"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"5-fish-vision-reproduction"
"12/28/2024 01:30:22:385 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"3","true","1.2","3","150","1","10","100","1","280","0.36428571428571427","102","10.2","0"
"4","true","1.2","3","150","1","10","100","1","316","0.3291139240506329","104","10.4","0"
"5","true","1.2","3","150","1","10","100","1","409","0.2591687041564792","106","10.6","0"
"1","true","1.2","3","150","1","10","100","1","188","0.5372340425531915","101","10.1","0"
"2","true","1.2","3","150","1","10","100","1","394","0.2969543147208122","117","11.7","0"
"8","true","1.2","3","150","1","10","100","3","648","0.20679012345679013","134","13.4","0"
"6","true","1.2","3","150","1","10","100","3","746","0.17158176943699732","128","12.8","0"
"7","true","1.2","3","150","1","10","100","3","793","0.15132408575031525","120","12","0"
"10","true","1.2","3","150","1","10","100","3","564","0.2127659574468085","120","12","0"
"9","true","1.2","3","150","1","10","100","3","671","0.21162444113263784","142","14.2","0"
"11","true","1.2","3","150","1","10","100","5","750","0.208","156","15.6","2076"
"13","true","1.2","3","150","1","10","100","5","750","0.21466666666666667","161","16.1","2042"
"12","true","1.2","3","150","1","10","100","5","750","0.22933333333333333","172","17.2","2150"
"14","true","1.2","3","150","1","10","100","5","900","0.3611111111111111","325","32.5","3662"
"15","true","1.2","3","150","1","10","100","5","750","0.23466666666666666","176","17.6","2096"
"16","true","1.2","3","150","1","10","100","10","750","0.05333333333333334","40","4","2944"
"17","true","1.2","3","150","1","10","100","10","750","0.050666666666666665","38","3.8","2850"
"18","true","1.2","3","150","1","10","100","10","750","0.036","27","2.7","2784"
"19","true","1.2","3","150","1","10","100","10","750","0.07466666666666667","56","5.6","2750"
"20","true","1.2","3","150","1","10","100","10","750","0.076","57","5.7","2666"
