"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"5-fish-vision"
"12/28/2024 01:03:55:028 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-vision-range","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"2","false","1.2","3","150","1","10","100","1","204","0.49019607843137253","100","10"
"5","false","1.2","3","150","1","10","100","1","287","0.34843205574912894","100","10"
"4","false","1.2","3","150","1","10","100","1","303","0.33003300330033003","100","10"
"3","false","1.2","3","150","1","10","100","1","324","0.30864197530864196","100","10"
"6","false","1.2","3","150","1","10","100","3","401","0.24937655860349128","100","10"
"10","false","1.2","3","150","1","10","100","3","323","0.30959752321981426","100","10"
"8","false","1.2","3","150","1","10","100","3","420","0.23809523809523808","100","10"
"9","false","1.2","3","150","1","10","100","3","329","0.303951367781155","100","10"
"7","false","1.2","3","150","1","10","100","3","562","0.17793594306049823","100","10"
"11","false","1.2","3","150","1","10","100","5","8339","0.01199184554502938","100","10"
"13","false","1.2","3","150","1","10","100","5","6207","0.016110842597067826","100","10"
"14","false","1.2","3","150","1","10","100","5","8185","0.012217470983506415","100","10"
"12","false","1.2","3","150","1","10","100","5","8497","0.011768859597505002","100","10"
"15","false","1.2","3","150","1","10","100","5","13388","0.007469375560203167","100","10"
"18","false","1.2","3","150","1","10","100","10","27670","0.003614022406938923","100","10"
"16","false","1.2","3","150","1","10","100","10","24599","0.00406520590267897","100","10"
"17","false","1.2","3","150","1","10","100","10","35620","0.002807411566535654","100","10"
"19","false","1.2","3","150","1","10","100","10","34826","0.0028714179061620627","100","10"
"20","false","1.2","3","150","1","10","100","10","26974","0.003707273670942389","100","10"
"1","false","1.2","3","150","1","10","100","1","219","0.45662100456621","100","10"
