"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"model_1.nlogo"
"baseline-model-exp"
"12/26/2024 16:19:20:085 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15"
"fish-reproduction","false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,
"speed-dolphin","1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,,"1.2",,,
"dolphin-vision-range","3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,
"fish-vision-range","3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,
"fish-reproduction-rate","150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,
"speed-fish","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
"initial-number-dolphins","10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,
"initial-number-fish","50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,
"[reporter]","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"[final]","480","0.10416666666666667","50","5","314","0.1592356687898089","50","5","292","0.17123287671232876","50","5","408","0.12254901960784313","50","5","346","0.14450867052023122","50","5","450","0.2222222222222222","100","10","425","0.23529411764705882","100","10","466","0.2145922746781116","100","10","319","0.31347962382445144","100","10","354","0.2824858757062147","100","10","606","0.33003300330033003","200","20","402","0.4975124378109453","200","20","530","0.37735849056603776","200","20","654","0.3058103975535168","200","20","1103","0.1813236627379873","200","20"
"[min]","480","0.10416666666666667","50","5","314","0.1592356687898089","50","5","292","0.17123287671232876","50","5","408","0.12254901960784313","50","5","346","0.14450867052023122","50","5","450","0.2222222222222222","100","10","425","0.23529411764705882","100","10","466","0.2145922746781116","100","10","319","0.31347962382445144","100","10","354","0.2824858757062147","100","10","606","0.33003300330033003","200","20","402","0.4975124378109453","200","20","530","0.37735849056603776","200","20","654","0.3058103975535168","200","20","1103","0.1813236627379873","200","20"
"[max]","480","0.10416666666666667","50","5","314","0.1592356687898089","50","5","292","0.17123287671232876","50","5","408","0.12254901960784313","50","5","346","0.14450867052023122","50","5","450","0.2222222222222222","100","10","425","0.23529411764705882","100","10","466","0.2145922746781116","100","10","319","0.31347962382445144","100","10","354","0.2824858757062147","100","10","606","0.33003300330033003","200","20","402","0.4975124378109453","200","20","530","0.37735849056603776","200","20","654","0.3058103975535168","200","20","1103","0.1813236627379873","200","20"
"[mean]","480","0.10416666666666667","50","5","314","0.1592356687898089","50","5","292","0.17123287671232876","50","5","408","0.12254901960784313","50","5","346","0.14450867052023122","50","5","450","0.2222222222222222","100","10","425","0.23529411764705882","100","10","466","0.2145922746781116","100","10","319","0.31347962382445144","100","10","354","0.2824858757062147","100","10","606","0.33003300330033003","200","20","402","0.4975124378109453","200","20","530","0.37735849056603776","200","20","654","0.3058103975535168","200","20","1103","0.1813236627379873","200","20"
"[total steps]","480","480","480","480","314","314","314","314","292","292","292","292","408","408","408","408","346","346","346","346","450","450","450","450","425","425","425","425","466","466","466","466","319","319","319","319","354","354","354","354","606","606","606","606","402","402","402","402","530","530","530","530","654","654","654","654","1103","1103","1103","1103"

"[all run data]","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
,"480","0.10416666666666667","50","5","314","0.1592356687898089","50","5","292","0.17123287671232876","50","5","408","0.12254901960784313","50","5","346","0.14450867052023122","50","5","450","0.2222222222222222","100","10","425","0.23529411764705882","100","10","466","0.2145922746781116","100","10","319","0.31347962382445144","100","10","354","0.2824858757062147","100","10","606","0.33003300330033003","200","20","402","0.4975124378109453","200","20","530","0.37735849056603776","200","20","654","0.3058103975535168","200","20","1103","0.1813236627379873","200","20"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
