"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"baseline-model-exp"
"12/26/2024 16:19:18:744 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"3","false","1.2","3","3","150","1","10","50","292","0.17123287671232876","50","5"
"4","false","1.2","3","3","150","1","10","50","408","0.12254901960784313","50","5"
"2","false","1.2","3","3","150","1","10","50","314","0.1592356687898089","50","5"
"1","false","1.2","3","3","150","1","10","50","480","0.10416666666666667","50","5"
"5","false","1.2","3","3","150","1","10","50","346","0.14450867052023122","50","5"
"7","false","1.2","3","3","150","1","10","100","425","0.23529411764705882","100","10"
"9","false","1.2","3","3","150","1","10","100","319","0.31347962382445144","100","10"
"6","false","1.2","3","3","150","1","10","100","450","0.2222222222222222","100","10"
"8","false","1.2","3","3","150","1","10","100","466","0.2145922746781116","100","10"
"10","false","1.2","3","3","150","1","10","100","354","0.2824858757062147","100","10"
"12","false","1.2","3","3","150","1","10","200","402","0.4975124378109453","200","20"
"11","false","1.2","3","3","150","1","10","200","606","0.33003300330033003","200","20"
"13","false","1.2","3","3","150","1","10","200","530","0.37735849056603776","200","20"
"15","false","1.2","3","3","150","1","10","200","1103","0.1813236627379873","200","20"
"14","false","1.2","3","3","150","1","10","200","654","0.3058103975535168","200","20"
