"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"3-fish-speed-reproduction"
"12/30/2024 16:45:12:529 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","initial-number-dolphins","initial-number-fish","speed-fish","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","true","1.2","3","3","150","10","100","1","516","0.23449612403100775","121","12.1","0"
"3","true","1.2","3","3","150","10","100","1","375","0.296","111","11.1","0"
"5","true","1.2","3","3","150","10","100","1","294","0.3707482993197279","109","10.9","0"
"4","true","1.2","3","3","150","10","100","1","397","0.30730478589420657","122","12.2","0"
"1","true","1.2","3","3","150","10","100","1","512","0.220703125","113","11.3","0"
"6","true","1.2","3","3","150","10","100","1.2","897","0.22408026755852842","201","20.1","0"
"8","true","1.2","3","3","150","10","100","1.2","967","0.2078593588417787","201","20.1","0"
"7","true","1.2","3","3","150","10","100","1.2","868","0.21428571428571427","186","18.6","0"
"9","true","1.2","3","3","150","10","100","1.2","1006","0.20377733598409542","205","20.5","0"
"10","true","1.2","3","3","150","10","100","1.2","1110","0.1990990990990991","221","22.1","0"
